Optimized vs Binary Merkle Tree Modes

Blocks, Binary Time, Optimized Time
379100,  0.181215,  0.113950
380100,  0.163104,  0.108349
381100,  0.163522,  0.108449
382100,  0.163567,  0.108290
383100,  0.162893,  0.108541
384100,  0.162728,  0.107841
385100,  0.162900,  0.108297
386100,  0.163198,  0.108340
387100,  0.162545,  0.108522
388100,  0.163538,  0.108263
389100,  0.163348,  0.108134
390100,  0.162529,  0.108300
391100,  0.161727,  0.108615
392100,  0.162467,  0.108261
393100,  0.163598,  0.108343
394100,  0.162946,  0.108025
395100,  0.163511,  0.108262
396100,  0.162776,  0.108591
397100,  0.162172,  0.108290
398100,  0.163460,  0.108129
399100,  0.163647,  0.108105
400100,  0.162981,  0.108202
401100,  0.162719,  0.108015
402100,  0.163874,  0.108169
403100,  0.163094,  0.108437
404100,  0.163276,  0.108093
405100,  0.163361,  0.108381
406100,  0.163479,  0.107900
407100,  0.162376,  0.108398
408100,  0.163601,  0.108496
409100,  0.162915,  0.107759
410100,  0.163736,  0.108166
411100,  0.162876,  0.108293
412100,  0.162236,  0.108441
413100,  0.162780,  0.108091
414100,  0.163833,  0.108121
415100,  0.162808,  0.108335
416100,  0.162907,  0.108202
417100,  0.162417,  0.108282
418100,  0.163208,  0.108794
419100,  0.163389,  0.108291
420100,  0.162688,  0.108104
421100,  0.162480,  0.108264
422100,  0.163077,  0.107997
423100,  0.162237,  0.108181
424100,  0.163155,  0.107937
425100,  0.163765,  0.107895
426100,  0.162483,  0.108274
427100,  0.162661,  0.108228
428100,  0.162934,  0.108018
429100,  0.163449,  0.108523
430100,  0.162812,  0.108210
431100,  0.163185,  0.108139
432100,  0.163218,  0.108220
433100,  0.162770,  0.108421
434100,  0.163576,  0.108170
435100,  0.162915,  0.108144
436100,  0.162907,  0.108033
437100,  0.162244,  0.108635
438100,  0.162683,  0.108245
439100,  0.162602,  0.107897
440100,  0.162902,  0.108494
441100,  0.163111,  0.108261
442100,  0.163004,  0.108076
443100,  0.163048,  0.108365
444100,  0.162859,  0.108049
445100,  0.163744,  0.108655
446100,  0.163347,  0.108267
447100,  0.163041,  0.108175
448100,  0.162538,  0.108149
449100,  0.162802,  0.108262
450100,  0.162993,  0.108113
451100,  0.163377,  0.108349
452100,  0.163741,  0.108043
453100,  0.162705,  0.108108
454100,  0.162959,  0.108438
455100,  0.162510,  0.108269
456100,  0.162794,  0.107574
457100,  0.163339,  0.107507
458100,  0.162850,  0.108448
459100,  0.163338,  0.108229
460100,  0.163604,  0.108137
461100,  0.162827,  0.108628
462100,  0.163675,  0.107984
463100,  0.163536,  0.108394
464100,  0.161782,  0.108234
465100,  0.162950,  0.107507
466100,  0.163382,  0.108459
467100,  0.162723,  0.108373
468100,  0.163665,  0.108400
469100,  0.163230,  0.108656
470100,  0.163899,  0.108100
471100,  0.163042,  0.108367
472100,  0.163459,  0.108062
473100,  0.162330,  0.108185
474100,  0.162904,  0.108608
475100,  0.162690,  0.108158
476100,  0.162946,  0.108331
477100,  0.162971,  0.108410
478100,  0.162665,  0.108396
479100,  0.162914,  0.108624
480100,  0.162011,  0.108316
481100,  0.163439,  0.108149
482100,  0.163644,  0.108010
483100,  0.162611,  0.108275
484100,  0.162617,  0.108193
485100,  0.162718,  0.108510
486100,  0.163542,  0.108147
487100,  0.162714,  0.108364
488100,  0.162936,  0.108154
489100,  0.162940,  0.108125
490100,  0.163084,  0.108336
491100,  0.162878,  0.108595
492100,  0.162566,  0.108129
493100,  0.163036,  0.108119
494100,  0.163344,  0.108053
495100,  0.162773,  0.108448
496100,  0.163214,  0.108122
497100,  0.162842,  0.108523
498100,  0.163471,  0.107872
499100,  0.162591,  0.108460
500100,  0.163678,  0.108365
501100,  0.161970,  0.107662
502100,  0.162911,  0.108151
503100,  0.162510,  0.108151
504100,  0.163075,  0.108676
505100,  0.162781,  0.107364
506100,  0.162779,  0.108126
507100,  0.163001,  0.108290
508100,  0.162860,  0.108270
509100,  0.162761,  0.108048
510100,  0.163546,  0.108552
511100,  0.162656,  0.108256
512100,  0.163300,  0.108248
513100,  0.162972,  0.108535
514100,  0.163105,  0.108020
515100,  0.162837,  0.108254
516100,  0.163197,  0.108168
517100,  0.163493,  0.108177
518100,  0.163477,  0.107873
519100,  0.163715,  0.108241
520100,  0.163679,  0.108181
521100,  0.162251,  0.108157
522100,  0.163482,  0.108280
523100,  0.162603,  0.108104
524100,  0.162801,  0.108154
525100,  0.325564,  0.108524
526100,  0.326533,  0.108192
527100,  0.324657,  0.108147
528100,  0.326386,  0.108512
529100,  0.326255,  0.108725
530100,  0.325905,  0.108209
531100,  0.326189,  0.108247
532100,  0.325956,  0.144771
533100,  0.324256,  0.143551
534100,  0.324862,  0.144483
535100,  0.325154,  0.144466
536100,  0.323778,  0.144464
537100,  0.325934,  0.144704
538100,  0.327380,  0.144018
539100,  0.323651,  0.144604
540100,  0.326777,  0.144494
541100,  0.326825,  0.144455
542100,  0.326101,  0.144557
543100,  0.325201,  0.144284
544100,  0.325199,  0.144184
545100,  0.325606,  0.144464
546100,  0.326948,  0.144458
547100,  0.326094,  0.144713
548100,  0.326121,  0.144838
549100,  0.327425,  0.144539
550100,  0.327455,  0.144244
551100,  0.324714,  0.144696
552100,  0.324309,  0.144554
553100,  0.326988,  0.144486
554100,  0.326298,  0.144297
555100,  0.325809,  0.144538
556100,  0.326675,  0.144558
557100,  0.325291,  0.144537
558100,  0.326172,  0.144517
559100,  0.325454,  0.144392
560100,  0.328221,  0.144331
561100,  0.325716,  0.145113
562100,  0.327165,  0.144539
563100,  0.325909,  0.144493
564100,  0.326501,  0.144411
565100,  0.325641,  0.144592
566100,  0.325416,  0.143945
567100,  0.324429,  0.144077
568100,  0.326046,  0.143975
569100,  0.324356,  0.144566
570100,  0.326069,  0.144876
571100,  0.324591,  0.145223
572100,  0.325671,  0.144011
573100,  0.326081,  0.144631
574100,  0.326000,  0.144245
575100,  0.323893,  0.144576
576100,  0.324953,  0.144143
577100,  0.325875,  0.144561
578100,  0.325722,  0.145139
579100,  0.326168,  0.144785
580100,  0.326452,  0.144573
581100,  0.325173,  0.144345
582100,  0.327566,  0.144653
583100,  0.325583,  0.144368
584100,  0.325798,  0.144503
585100,  0.325494,  0.144540
586100,  0.324673,  0.143583
587100,  0.325924,  0.144492
588100,  0.326672,  0.144110
589100,  0.326072,  0.144585
590100,  0.327038,  0.144444
591100,  0.325231,  0.144583
592100,  0.324497,  0.144315
593100,  0.324976,  0.144644
594100,  0.327137,  0.144511
595100,  0.323515,  0.144544
596100,  0.325912,  0.144617
597100,  0.323691,  0.144458
598100,  0.325170,  0.144849
599100,  0.326816,  0.144423
600100,  0.325375,  0.144583
601100,  0.324587,  0.144927
602100,  0.324942,  0.144571
603100,  0.326319,  0.144546
604100,  0.326155,  0.144650
605100,  0.324876,  0.144609
606100,  0.324990,  0.144500
607100,  0.326288,  0.144522
608100,  0.327101,  0.144601
609100,  0.327461,  0.144621
610100,  0.326624,  0.144542
611100,  0.325254,  0.144495
612100,  0.323971,  0.143850
613100,  0.323342,  0.144998
614100,  0.325518,  0.144626
615100,  0.326421,  0.144676
616100,  0.327757,  0.144635
617100,  0.327418,  0.144424
618100,  0.325711,  0.144610
619100,  0.325712,  0.144644
620100,  0.325557,  0.144729
621100,  0.325099,  0.144423
622100,  0.324607,  0.144524
623100,  0.325909,  0.144476
624100,  0.326199,  0.144509
625100,  0.325779,  0.144361
626100,  0.327550,  0.144405
627100,  0.324188,  0.144554
628100,  0.326298,  0.144126
629100,  0.324781,  0.144907
630100,  0.326147,  0.144556
631100,  0.326445,  0.145055
632100,  0.325138,  0.144554
633100,  0.324158,  0.144916
634100,  0.325040,  0.144788
635100,  0.326067,  0.144519
